,dialogue_id,game,text,speaker,utterance_idx,seed,game score,level,is_positive
0,55262,treasure_hunter," This is the present state of the game



                    ________  ________  __    __  ________        
                   |        \|        \|  \  |  \|        \       
                    \$$$$$$$$| $$$$$$$$| $$  | $$ \$$$$$$$$       
                      | $$   | $$__     \$$\/  $$   | $$          
                      | $$   | $$  \     >$$  $$    | $$          
                      | $$   | $$$$$    /  $$$$\    | $$          
                      | $$   | $$_____ |  $$ \$$\   | $$          
                      | $$   | $$     \| $$  | $$   | $$          
                       \$$    \$$$$$$$$ \$$   \$$    \$$          
              __       __   ______   _______   __        _______  
             |  \  _  |  \ /      \ |       \ |  \      |       \ 
             | $$ / \ | $$|  $$$$$$\| $$$$$$$\| $$      | $$$$$$$\
             | $$/  $\| $$| $$  | $$| $$__| $$| $$      | $$  | $$
             | $$  $$$\ $$| $$  | $$| $$    $$| $$      | $$  | $$
             | $$ $$\$$\$$| $$  | $$| $$$$$$$\| $$      | $$  | $$
             | $$$$  \$$$$| $$__/ $$| $$  | $$| $$_____ | $$__/ $$
             | $$$    \$$$ \$$    $$| $$  | $$| $$     \| $$    $$
              \$$      \$$  \$$$$$$  \$$   \$$ \$$$$$$$$ \$$$$$$$ 

Welcome to TextWorld! Pick up the sandwich from the floor of the studio.

-= Studio =-
You've just walked into a studio.



You don't like doors? Why not try going east, that entranceway is unguarded. There is an exit to the west. Don't worry, it is unguarded.

There is a sandwich on the floor.

these are the possible verbs you can use: ['close', 'drop', 'eat', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'put', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,0,55262,0.2,1,1
1,55262,treasure_hunter, go west,assistant,1,55262,0.2,1,1
2,55262,treasure_hunter," This is the present state of the game

-= Steam Room =-
You are in a steam room. An usual one. You start to take note of what's in the room.



There is an exit to the east. Don't worry, it is unblocked.

<score>
0
</score><moves>
1
</moves>
these are the possible verbs you can use: ['close', 'drop', 'eat', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'put', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,2,55262,0.2,1,1
3,55262,treasure_hunter, examine sandwich,assistant,3,55262,0.2,1,1
4,55262,treasure_hunter," This is the present state of the game
You can't see any such thing.

these are the possible verbs you can use: ['close', 'drop', 'eat', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'put', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,4,55262,0.2,1,1
5,55262,treasure_hunter, take sandwich,assistant,5,55262,0.2,1,1
6,55262,treasure_hunter," This is the present state of the game
You can't see any such thing.

these are the possible verbs you can use: ['close', 'drop', 'eat', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'put', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,6,55262,0.2,1,1
7,55262,treasure_hunter, go east,assistant,7,55262,0.2,1,1
8,55262,treasure_hunter," This is the present state of the game

-= Studio =-
You've just walked into a studio.



You don't like doors? Why not try going east, that entranceway is unguarded. There is an exit to the west. Don't worry, it is unguarded.

There is a sandwich on the floor.

<score>
0
</score><moves>
2
</moves>
these are the possible verbs you can use: ['close', 'drop', 'eat', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'put', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,8,55262,0.2,1,1
9,55262,treasure_hunter, take sandwich,assistant,9,55262,0.2,1,1
